itemcode,fgcode,chain_id,chain name
333544,F0035-001,14,Metro Cash&Carry India Pvt Ltd
339460,F0199-001,14,Metro Cash&Carry India Pvt Ltd
339461,F0233-001,14,Metro Cash&Carry India Pvt Ltd
339462,F0214-001,14,Metro Cash&Carry India Pvt Ltd
339463,F0212-001,14,Metro Cash&Carry India Pvt Ltd
339464,F0207-001,14,Metro Cash&Carry India Pvt Ltd
339465,F0193-005,14,Metro Cash&Carry India Pvt Ltd
339710,F0357-001,14,Metro Cash&Carry India Pvt Ltd
340122,T0036-005,14,Metro Cash&Carry India Pvt Ltd
340126,F0162-005,14,Metro Cash&Carry India Pvt Ltd
340128,F0158-004,14,Metro Cash&Carry India Pvt Ltd
341931,F0198-003,14,Metro Cash&Carry India Pvt Ltd
345202,F0306-004,14,Metro Cash&Carry India Pvt Ltd
345204,F0307-004,14,Metro Cash&Carry India Pvt Ltd
345205,F0311-003,14,Metro Cash&Carry India Pvt Ltd
345206,F0313-003,14,Metro Cash&Carry India Pvt Ltd
351590,F0321-002,14,Metro Cash&Carry India Pvt Ltd
351591,F0319-002,14,Metro Cash&Carry India Pvt Ltd
351592,F0320-002,14,Metro Cash&Carry India Pvt Ltd
359859,T0037-006,14,Metro Cash&Carry India Pvt Ltd
372199,F0206-001,14,Metro Cash&Carry India Pvt Ltd
372200,F0168-001,14,Metro Cash&Carry India Pvt Ltd
372201,F0218-001,14,Metro Cash&Carry India Pvt Ltd
372202,F0217-001,14,Metro Cash&Carry India Pvt Ltd
372203,F0220-001,14,Metro Cash&Carry India Pvt Ltd
372204,F0216-001,14,Metro Cash&Carry India Pvt Ltd
372205,F0167-001,14,Metro Cash&Carry India Pvt Ltd
376584,F0328-003,14,Metro Cash&Carry India Pvt Ltd
376172,F0328-003,14,Metro Cash&Carry India Pvt Ltd
376895,F0232-001,14,Metro Cash&Carry India Pvt Ltd
376896,F0091-005,14,Metro Cash&Carry India Pvt Ltd
376897,F0038-001,14,Metro Cash&Carry India Pvt Ltd
381433,F0367-001,14,Metro Cash&Carry India Pvt Ltd
381434,F0371-001,14,Metro Cash&Carry India Pvt Ltd
381435,F0369-001,14,Metro Cash&Carry India Pvt Ltd
381436,F0310-001,14,Metro Cash&Carry India Pvt Ltd
381437,F0309-001,14,Metro Cash&Carry India Pvt Ltd
383988,F0385-001,14,Metro Cash&Carry India Pvt Ltd
383989,F0384-001,14,Metro Cash&Carry India Pvt Ltd
388302,F0437-001,14,Metro Cash&Carry India Pvt Ltd
388303,F0436-001,14,Metro Cash&Carry India Pvt Ltd
397480,F0553-003,14,Metro Cash&Carry India Pvt Ltd
397485,T0330-001,14,Metro Cash&Carry India Pvt Ltd
397486,F0409-001,14,Metro Cash&Carry India Pvt Ltd
397487,F0627-001,14,Metro Cash&Carry India Pvt Ltd
397488,F0410-003,14,Metro Cash&Carry India Pvt Ltd
397489,F0547-003,14,Metro Cash&Carry India Pvt Ltd
397492,F0550-003,14,Metro Cash&Carry India Pvt Ltd
376470,F0038-001,14,Metro Cash&Carry India Pvt Ltd
383202,F0384-001,14,Metro Cash&Carry India Pvt Ltd
383201,F0385-001,14,Metro Cash&Carry India Pvt Ltd
380722,F0367-001,14,Metro Cash&Carry India Pvt Ltd
380724,F0369-001,14,Metro Cash&Carry India Pvt Ltd
380723,F0371-001,14,Metro Cash&Carry India Pvt Ltd
376464,F0232-001,14,Metro Cash&Carry India Pvt Ltd
396121,F0409-001,14,Metro Cash&Carry India Pvt Ltd
396117,F0553-003,14,Metro Cash&Carry India Pvt Ltd
408263,F0626-001,14,Metro Cash&Carry India Pvt Ltd
408264,F0525-001,14,Metro Cash&Carry India Pvt Ltd
408265,F0609-001,14,Metro Cash&Carry India Pvt Ltd
408266,F0607-001,14,Metro Cash&Carry India Pvt Ltd
408267,T0303-001,14,Metro Cash&Carry India Pvt Ltd
408268,F0465-001,14,Metro Cash&Carry India Pvt Ltd
408269,T0304-001,14,Metro Cash&Carry India Pvt Ltd
408270,T0305-001,14,Metro Cash&Carry India Pvt Ltd
408271,F0633-001,14,Metro Cash&Carry India Pvt Ltd
490126308,F0194-001,19,Reliance Retail Limited-CNC
490935538,F0198-003,19,Reliance Retail Limited-CNC
490935539,F0031-001,19,Reliance Retail Limited-CNC
490935540,F0034-001,19,Reliance Retail Limited-CNC
490935541,F0032-001,19,Reliance Retail Limited-CNC
490935543,T0001-003,19,Reliance Retail Limited-CNC
490935968,F0089-006,19,Reliance Retail Limited-CNC
490935969,F0088-004,19,Reliance Retail Limited-CNC
490935971,F0097-018,19,Reliance Retail Limited-CNC
490935972,F0099-016,19,Reliance Retail Limited-CNC
490935974,F0095-020,19,Reliance Retail Limited-CNC
490935975,F0094-016,19,Reliance Retail Limited-CNC
490935983,F0193-005,19,Reliance Retail Limited-CNC
490935985,F0199-001,19,Reliance Retail Limited-CNC
490935986,F0201-001,19,Reliance Retail Limited-CNC
490935988,F0204-001,19,Reliance Retail Limited-CNC
490935990,F0212-001,19,Reliance Retail Limited-CNC
490935992,F0214-001,19,Reliance Retail Limited-CNC
490936001,F0162-005,19,Reliance Retail Limited-CNC
490936003,F0534-001,19,Reliance Retail Limited-CNC
490936005,F0428-001,19,Reliance Retail Limited-CNC
490936007,F0431-001,19,Reliance Retail Limited-CNC
490936008,F0438-001,19,Reliance Retail Limited-CNC
490936009,F0440-001,19,Reliance Retail Limited-CNC
490936013,F0244-006,19,Reliance Retail Limited-CNC
