EAN,Item Description,H&G
8906008456196,BODY GLOW SPF 35Â  100ML,538084
8907122000418,Daily Shine Control Cleanser,538097
8906008456035,Daily Shine Control Nourishing Mask,538098
8907122000319,Enbrighten Day Treat Cream,538088
8907122000326,Enbrighten Night Treat Cream ,538089
8907122000333,Face Sculpt Day Cream ,538092
8907122000432,Moisture Lock Facial Wash ,538095
8906008456134,Skin Soothe Toner ,538099
8907122000357,Maximum Replenish Night Cream ,538094
8907122000364,Maximum Moisturise Day Cream ,538093
8907122000395,Brighten Correct Day Treat Cream ,538086
8907122000401,Brighten Correct Night Cream ,538087
8906008456257,Papaya Enzyme Mask ,538096
8906008456264,Exotic Jewel Scrub ,538091
8906008456271,Exotic Jewel Mask ,538090
8906008459753,Whitening Scrub ,538104
8906008459760,Whitening Face Pack ,538101
8907122000371,Whitening Night Cream ,538103
8907122000388,Whitening Day Cream ,538100
8907122000456,Whitening Face Wash ,538102
8907122002696,VLCC Ultra Radiance SoufflÃŠ with SPF 50 and PA+++,
8907122002047,VLCC 1 Day Instant Magic Whitening Cream,
8907122002122,VLCC 1 Day Instant Magic Whitening Scrub,
8907122002900,VLCC Anti-Tan Skin Lightening Facewash,
8907122002689,VLCC Refreshing Sun Block Gel  SPF 25 And pa+++,
8907122002023,VLCC Diamond & Gold Ultra Glow Facial Kit,
8907122002030,VLCC Wonder Whitening Kit,
8907122004188,Antiaging Soap(3+1 free Offer),
8907122004171,Instaglow Fairness Soap (3+1) Free Offer,
8907122004614,VLCC De-Pigmentation fairness Facial Kit,
